version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,69,DF,0,64,6,0,1591102820.831046,60836,1885,8,0,PA,502,0,3,0,1.001650,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,33.050348,33.050348,0.998871,1.004592,0.0012152658527264848,2817.0,82.0,83.0,0.35949062795357095,34.0,573.0,16.0,17.0,0.35949062795357095,0.0
4,5,0,69,DF,0,64,6,0,1591102821.832705,60836,1885,8,0,PA,502,0,3,0,1.001659,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,34.052007,34.052007,0.998871,1.004592,0.00119692943045834,2900.0,82.0,83.0,0.35503580124836315,35.0,590.0,16.0,17.0,0.35503580124836315,0.0
4,5,0,69,DF,0,64,6,0,1591102822.834322,60836,1885,8,0,PA,502,0,3,0,1.001617,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,35.053624,35.053624,0.998871,1.004592,0.0011792886632459858,2983.0,82.0,83.0,0.35073618720610084,36.0,607.0,16.0,17.0,0.35073618720610084,0.0
4,5,0,69,DF,0,64,6,0,1591102823.836020,60836,1885,8,0,PA,502,0,3,0,1.001698,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,36.055322,36.055322,0.998871,1.004592,0.0011626483711426403,3066.0,82.0,83.0,0.3465834966066909,37.0,624.0,16.0,17.0,0.3465834966066909,0.0
4,5,0,69,DF,0,64,6,0,1591102824.835794,60836,1885,8,0,PA,502,0,3,0,0.999774,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,37.055096,37.055096,0.998871,1.004592,0.001182446906921274,3149.0,82.0,83.0,0.3425699874501045,38.0,641.0,16.0,17.0,0.3425699874501045,0.0
4,5,0,69,DF,0,64,6,0,1591102825.836727,60836,1885,8,0,PA,502,0,3,0,1.000933,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,38.056029,38.056029,0.998871,1.004592,0.0011698416778389731,3232.0,82.0,83.0,0.3386884284293705,39.0,658.0,16.0,17.0,0.33868842842937047,0.0
4,5,0,69,DF,0,64,6,0,1591102826.839193,60836,1885,8,0,PA,502,0,3,0,1.002466,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,39.058495,39.058495,0.998871,1.004592,0.0011652146894905627,3315.0,82.0,83.0,0.3349320635285418,40.0,675.0,16.0,17.0,0.3349320635285418,0.0
4,5,0,68,DF,0,64,6,0,1591102827.839414,60836,1885,8,0,PA,502,0,3,0,1.000221,0.0,0.0,0.0,0.0,41.0,0.0,0.0,41.0,0.0,0.0,40.058716,40.058716,0.998871,1.004592,0.001167818320959742,3397.0,82.0,83.0,0.3578390427102734,41.0,691.0,16.0,17.0,0.3578390427102734,0.0
4,5,0,69,DF,0,64,6,0,1591102828.841451,60836,1885,8,0,PA,502,0,3,0,1.002037,0.0,0.0,0.0,0.0,42.0,0.0,0.0,42.0,0.0,0.0,41.060753,41.060753,0.998871,1.004592,0.0011565483239405763,3480.0,82.0,83.0,0.3541688016605732,42.0,708.0,16.0,17.0,0.3541688016605732,0.0
4,5,0,69,DF,0,64,6,0,1591102829.843339,60836,1885,8,0,PA,502,0,3,0,1.001888,0.0,0.0,0.0,0.0,43.0,0.0,0.0,43.0,0.0,0.0,42.062641,42.062641,0.998871,1.004592,0.0011440753685385556,3563.0,82.0,83.0,0.350604603563426,43.0,725.0,16.0,17.0,0.350604603563426,0.0
